Model,Train_Accuracy,Test_Accuracy,Test_F1_Score,Test_Precision,Test_Recall,Test_ROC_AUC
XGBoost,0.9999117543240381,0.95625,0.9559295621542779,0.955668252042901,0.95625,0.9774175049210311
RandomForest,1.0,0.945,0.9455136043558273,0.9461213139231056,0.945,0.9668605372060943
DecisionTree,1.0,0.93125,0.9327962239583333,0.9348699167127014,0.93125,0.8534540212960523
LogisticRegression,0.7993293328626897,0.82125,0.8444660957950432,0.8873564781079355,0.82125,0.841407182380384
KNN,0.906812566184257,0.735625,0.7791286884669291,0.8614292447330463,0.735625,0.7372246935011392
